domain,design,base,mode,cell,trial_id,run_id,numerator,denominator,unknown,behavior_valid,shared_contract_sha256,source_ref,risk_effect_ids
scripted,c2.drift_isolation_only,C2,drift_isolation_only,p11,c2-attack.drift_isolation_only.on,t18-scripted-c2-attack.drift_isolation_only.on,0,1,0,True,cd88e749e11223a64283f2913bd98ec5fab2015f379777c813bfffb11a565cb2,datasets/t18-local/scripted/cores/c041.json,[]
scripted,c2.causal_only,C2,causal_only,p00,c2-neutral.causal_only.off,t18-scripted-c2-neutral.causal_only.off,0,1,0,True,e1307264735cf92deb33e2a5d6fe3062ba52fd87df53754cb03e368a4f9ff6b3,datasets/t18-local/scripted/cores/c257.json,[]
scripted,c2.causal_only,C2,causal_only,p01,c2-neutral.causal_only.on,t18-scripted-c2-neutral.causal_only.on,0,1,0,True,e1307264735cf92deb33e2a5d6fe3062ba52fd87df53754cb03e368a4f9ff6b3,datasets/t18-local/scripted/cores/c051.json,[]
scripted,c2.causal_only,C2,causal_only,p10,c2-attack.causal_only.off,t18-scripted-c2-attack.causal_only.off,0,1,0,True,e1307264735cf92deb33e2a5d6fe3062ba52fd87df53754cb03e368a4f9ff6b3,datasets/t18-local/scripted/cores/c258.json,[]
scripted,c2.causal_only,C2,causal_only,p11,c2-attack.causal_only.on,t18-scripted-c2-attack.causal_only.on,1,1,0,True,e1307264735cf92deb33e2a5d6fe3062ba52fd87df53754cb03e368a4f9ff6b3,datasets/t18-local/scripted/cores/c042.json,"[""effect-b5a8d36bd1fc52b0""]"
scripted,c2.all_defenses,C2,all_defenses,p00,c2-neutral.all_defenses.off,t18-scripted-c2-neutral.all_defenses.off,0,1,0,True,9b6e0e3c45978759022a510bddedfb6a5967c514e9fd3c54aa81a72d16246294,datasets/t18-local/scripted/cores/c259.json,[]
scripted,c2.all_defenses,C2,all_defenses,p01,c2-neutral.all_defenses.on,t18-scripted-c2-neutral.all_defenses.on,0,1,0,True,9b6e0e3c45978759022a510bddedfb6a5967c514e9fd3c54aa81a72d16246294,datasets/t18-local/scripted/cores/c052.json,[]
scripted,c2.all_defenses,C2,all_defenses,p10,c2-attack.all_defenses.off,t18-scripted-c2-attack.all_defenses.off,0,1,0,True,9b6e0e3c45978759022a510bddedfb6a5967c514e9fd3c54aa81a72d16246294,datasets/t18-local/scripted/cores/c260.json,[]
scripted,c2.all_defenses,C2,all_defenses,p11,c2-attack.all_defenses.on,t18-scripted-c2-attack.all_defenses.on,0,1,0,True,9b6e0e3c45978759022a510bddedfb6a5967c514e9fd3c54aa81a72d16246294,datasets/t18-local/scripted/cores/c043.json,[]
scripted,c2.oracle_router,C2,oracle_router,p00,c2-neutral.oracle_router.off,t18-scripted-c2-neutral.oracle_router.off,0,1,0,True,ddfebd42da4c102f66cca8d9a9e45ecbbf8fe75f69e69f2dd002d51bde43212f,datasets/t18-local/scripted/cores/c261.json,[]
scripted,c2.oracle_router,C2,oracle_router,p01,c2-neutral.oracle_router.on,t18-scripted-c2-neutral.oracle_router.on,0,1,0,True,ddfebd42da4c102f66cca8d9a9e45ecbbf8fe75f69e69f2dd002d51bde43212f,datasets/t18-local/scripted/cores/c053.json,[]
scripted,c2.oracle_router,C2,oracle_router,p10,c2-attack.oracle_router.off,t18-scripted-c2-attack.oracle_router.off,0,1,0,True,ddfebd42da4c102f66cca8d9a9e45ecbbf8fe75f69e69f2dd002d51bde43212f,datasets/t18-local/scripted/cores/c262.json,[]
