condition,policy,seed,budget,n_query_observations,unique_queries,unique_registry_units,explicit_construct_families,point_count,point_coverage,not_applicable_count,eligibility_coverage,unknown_count,unknown_rate,analysis_errors,full_point_pairs,full_point_agreement,full_state_agreement,point_not_supported_by_full,independent_truth_n,independent_answered_n,independent_correct_n,independent_truth_coverage,independent_selective_accuracy,independent_eligibility_n,independent_eligibility_coverage,independent_eligibility_accuracy,mean_acquired_families,mean_added_json_bytes
all_nine_missing,random,19106,2,235,235,36,9,5,0.02127659574468085,43,0.7617021276595745,187,0.7957446808510639,0,5,1.0,0.3702127659574468,0,128,5,5,0.0390625,1.0,229,0.7816593886462883,1.0,1.672340425531915,1841.4212765957448
all_nine_missing,random,19106,3,235,235,36,9,10,0.0425531914893617,47,0.7872340425531915,178,0.7574468085106383,0,10,1.0,0.4085106382978723,0,128,10,10,0.078125,1.0,229,0.8078602620087336,1.0,2.4680851063829787,2641.2127659574467
all_nine_missing,random,19106,4,235,235,36,9,18,0.07659574468085106,49,0.8085106382978723,168,0.7148936170212766,0,18,1.0,0.451063829787234,0,128,18,18,0.140625,1.0,229,0.8296943231441049,1.0,3.225531914893617,3127.055319148936
all_nine_missing,random,19106,5,235,235,36,9,38,0.16170212765957448,51,0.851063829787234,146,0.6212765957446809,0,38,1.0,0.5574468085106383,0,128,38,38,0.296875,1.0,229,0.8733624454148472,1.0,3.9404255319148938,3850.8893617021276
all_nine_missing,random,19106,6,235,235,36,9,56,0.23829787234042554,54,0.8851063829787233,125,0.5319148936170213,0,56,1.0,0.6510638297872341,0,128,56,56,0.4375,1.0,229,0.9082969432314411,1.0,4.561702127659575,4639.685106382979
all_nine_missing,random,19106,7,235,235,36,9,77,0.3276595744680851,59,0.9148936170212766,99,0.42127659574468085,0,77,1.0,0.7659574468085106,0,128,77,77,0.6015625,1.0,229,0.9388646288209607,1.0,5.093617021276596,5349.948936170213
all_nine_missing,random,19106,8,235,235,36,9,101,0.4297872340425532,61,0.9276595744680851,73,0.31063829787234043,0,101,1.0,0.8765957446808511,0,128,101,101,0.7890625,1.0,229,0.9519650655021834,1.0,5.514893617021277,5965.795744680851
all_nine_missing,random,19106,9,235,235,36,9,126,0.5361702127659574,64,0.948936170212766,45,0.19148936170212766,0,126,1.0,1.0,0,128,126,126,0.984375,1.0,229,0.9737991266375546,1.0,5.825531914893617,6341.289361702127
all_nine_missing,random,19107,0,235,235,36,9,0,0.0,36,0.7276595744680852,199,0.8468085106382979,0,0,,0.3191489361702128,0,128,0,0,0.0,,229,0.7467248908296943,1.0,0,0
all_nine_missing,random,19107,1,235,235,36,9,1,0.00425531914893617,40,0.7617021276595745,194,0.825531914893617,0,1,1.0,0.34893617021276596,0,128,1,1,0.0078125,1.0,229,0.7816593886462883,1.0,0.8468085106382979,618.7872340425532
