cost,split,metric,mechanism,policy,rho,families,observations,reference_point,reference_unknown,reference_not_applicable,correct,wrong,wrong_safe,point,unknown,infeasible,not_applicable,correct_coverage,wrong_rate,wrong_safe_rate,unknown_rate,infeasible_rate,reference_coverage,reference_unknown_rate,reference_not_applicable_rate
C1,development,ALL,ALL,dependency_guided,0.85,6,784.0,672.0,112.0,0.0,128.66666666666666,0.0,0.0,128.66666666666666,169.33333333333334,486.0,0.0,0.19146825396825395,0.0,0.0,0.2088293650793651,0.6200396825396826,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,dependency_guided,0.9,6,784.0,672.0,112.0,0.0,302.0,0.0,0.0,302.0,186.66666666666666,295.33333333333337,0.0,0.4494047619047619,0.0,0.0,0.2230489417989418,0.376984126984127,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,dependency_guided,0.95,6,784.0,672.0,112.0,0.0,400.0,0.0,0.0,400.0,214.33333333333334,169.66666666666669,0.0,0.5952380952380952,0.0,0.0,0.2542989417989418,0.21726190476190477,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,dependency_guided,1.0,6,784.0,672.0,112.0,0.0,672.0,0.0,0.0,672.0,112.0,0.0,0.0,1.0,0.0,0.0,0.1111111111111111,0.0,0.8888888888888888,0.1111111111111111,0.0
C1,development,UEA,ALL,global_fixed,0.0,6,336.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,development,UEA,ALL,global_fixed,0.05,6,336.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,development,UEA,ALL,global_fixed,0.1,6,336.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,development,UEA,ALL,global_fixed,0.15,6,336.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,development,UEA,ALL,global_fixed,0.2,6,336.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,development,UEA,ALL,global_fixed,0.25,6,336.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,335.6666666666667,0.0,0.0,0.0,0.0,0.000992063492063492,0.9990079365079365,1.0,0.0,0.0
C1,development,UEA,ALL,global_fixed,0.3,6,336.0,336.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,1.3333333333333333,334.3333333333333,0.0,0.000992063492063492,0.0,0.0,0.003968253968253968,0.9950396825396826,1.0,0.0,0.0
C1,development,UEA,ALL,global_fixed,0.35,6,336.0,336.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,1.6666666666666665,334.0,0.0,0.000992063492063492,0.0,0.0,0.00496031746031746,0.9940476190476191,1.0,0.0,0.0
C1,development,UEA,ALL,global_fixed,0.4,6,336.0,336.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,6.666666666666666,329.0,0.0,0.000992063492063492,0.0,0.0,0.01984126984126984,0.9791666666666666,1.0,0.0,0.0
C1,development,UEA,ALL,global_fixed,0.45,6,336.0,336.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,11.666666666666666,324.0,0.0,0.000992063492063492,0.0,0.0,0.034722222222222224,0.9642857142857143,1.0,0.0,0.0
C1,development,UEA,ALL,global_fixed,0.5,6,336.0,336.0,0.0,0.0,1.0,0.0,0.0,1.0,15.333333333333332,319.6666666666667,0.0,0.002976190476190476,0.0,0.0,0.04563492063492063,0.9513888888888888,1.0,0.0,0.0
C1,development,UEA,ALL,global_fixed,0.55,6,336.0,336.0,0.0,0.0,2.0,0.0,0.0,2.0,20.0,314.0,0.0,0.005952380952380952,0.0,0.0,0.05952380952380952,0.9345238095238095,1.0,0.0,0.0
C1,development,UEA,ALL,global_fixed,0.6,6,336.0,336.0,0.0,0.0,4.0,0.0,0.0,4.0,29.0,303.0,0.0,0.011904761904761904,0.0,0.0,0.08630952380952381,0.9017857142857143,1.0,0.0,0.0
C1,development,UEA,ALL,global_fixed,0.65,6,336.0,336.0,0.0,0.0,7.0,0.0,0.0,7.0,32.666666666666664,296.3333333333333,0.0,0.020833333333333332,0.0,0.0,0.09722222222222222,0.8819444444444444,1.0,0.0,0.0
C1,development,UEA,ALL,global_fixed,0.7,6,336.0,336.0,0.0,0.0,16.666666666666668,0.0,0.0,16.666666666666668,52.33333333333333,267.0,0.0,0.04960317460317461,0.0,0.0,0.15575396825396826,0.7946428571428572,1.0,0.0,0.0
C1,development,UEA,ALL,global_fixed,0.75,6,336.0,336.0,0.0,0.0,19.666666666666668,0.0,0.0,19.666666666666668,53.33333333333333,263.0,0.0,0.05853174603174603,0.0,0.0,0.15873015873015872,0.7827380952380952,1.0,0.0,0.0
C1,development,UEA,ALL,global_fixed,0.8,6,336.0,336.0,0.0,0.0,22.0,0.0,0.0,22.0,55.0,259.0,0.0,0.06547619047619047,0.0,0.0,0.1636904761904762,0.7708333333333334,1.0,0.0,0.0
C1,development,UEA,ALL,global_fixed,0.85,6,336.0,336.0,0.0,0.0,61.666666666666664,0.0,0.0,61.666666666666664,66.0,208.33333333333334,0.0,0.18353174603174605,0.0,0.0,0.19642857142857142,0.6200396825396826,1.0,0.0,0.0
C1,development,UEA,ALL,global_fixed,0.9,6,336.0,336.0,0.0,0.0,115.66666666666666,0.0,0.0,115.66666666666666,93.66666666666666,126.66666666666667,0.0,0.34424603174603174,0.0,0.0,0.2787698412698413,0.376984126984127,1.0,0.0,0.0
C1,development,UEA,ALL,global_fixed,0.95,6,336.0,336.0,0.0,0.0,152.33333333333331,0.0,0.0,152.33333333333331,110.66666666666667,73.0,0.0,0.4533730158730158,0.0,0.0,0.3293650793650794,0.21726190476190477,1.0,0.0,0.0
C1,development,UEA,ALL,global_fixed,1.0,6,336.0,336.0,0.0,0.0,336.0,0.0,0.0,336.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
C1,development,UEA,ALL,metric_static,0.0,6,336.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,development,UEA,ALL,metric_static,0.05,6,336.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,development,UEA,ALL,metric_static,0.1,6,336.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,development,UEA,ALL,metric_static,0.15,6,336.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,development,UEA,ALL,metric_static,0.2,6,336.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C1,development,UEA,ALL,metric_static,0.25,6,336.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,335.6666666666667,0.0,0.0,0.0,0.0,0.000992063492063492,0.9990079365079365,1.0,0.0,0.0
C1,development,UEA,ALL,metric_static,0.3,6,336.0,336.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,1.3333333333333333,334.3333333333333,0.0,0.000992063492063492,0.0,0.0,0.003968253968253968,0.9950396825396826,1.0,0.0,0.0
C1,development,UEA,ALL,metric_static,0.35,6,336.0,336.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,1.6666666666666665,334.0,0.0,0.000992063492063492,0.0,0.0,0.00496031746031746,0.9940476190476191,1.0,0.0,0.0
