slot_id,module,kind,parent_slot,instance,source_variant,repeat,branch,max_requests,activation,status,actor_turn,details,attempts,path
RIR-I2-target-R2-not_revoked_control,RIR,suffix,RIR-I2-target-R2-P,2,target,2,not_revoked_control,24,module_needed_and_real_prefix_available_and_intervention_applicable,complete,9,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}, ""2"": {""started"": true, ""complete"": true}, ""3"": {""started"": true, ""complete"": true}}}",9,live/units/RIR-I2-target-R2-not_revoked_control
RIR-I2-neutral-R1-P,RIR,prefix,,2,neutral,1,producer,8,rir_module_needed,complete,2,"{""formed"": true}",2,live/units/RIR-I2-neutral-R1-P
RIR-I2-neutral-R1-revoked_original,RIR,suffix,RIR-I2-neutral-R1-P,2,neutral,1,revoked_original,24,module_needed_and_real_prefix_available_and_intervention_applicable,complete,9,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}, ""2"": {""started"": true, ""complete"": true}, ""3"": {""started"": true, ""complete"": true}}}",9,live/units/RIR-I2-neutral-R1-revoked_original
RIR-I2-neutral-R1-revoked_identity,RIR,suffix,RIR-I2-neutral-R1-P,2,neutral,1,revoked_identity,24,module_needed_and_real_prefix_available_and_intervention_applicable,complete,9,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}, ""2"": {""started"": true, ""complete"": true}, ""3"": {""started"": true, ""complete"": true}}}",9,live/units/RIR-I2-neutral-R1-revoked_identity
RIR-I2-neutral-R1-revoked_neutral,RIR,suffix,RIR-I2-neutral-R1-P,2,neutral,1,revoked_neutral,24,module_needed_and_real_prefix_available_and_intervention_applicable,not_applicable,,"{""reason"": ""exact_control_span_not_preserved"", ""source_checkpoint_hash"": ""ebe8607717295eac2b79c4d4f77a9e25376ba6bd0684925604658ff9584e12c8""}",0,
RIR-I2-neutral-R1-not_revoked_control,RIR,suffix,RIR-I2-neutral-R1-P,2,neutral,1,not_revoked_control,24,module_needed_and_real_prefix_available_and_intervention_applicable,complete,9,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}, ""2"": {""started"": true, ""complete"": true}, ""3"": {""started"": true, ""complete"": true}}}",9,live/units/RIR-I2-neutral-R1-not_revoked_control
RIR-I2-neutral-R2-P,RIR,prefix,,2,neutral,2,producer,8,rir_module_needed,complete,2,"{""formed"": true}",2,live/units/RIR-I2-neutral-R2-P
RIR-I2-neutral-R2-revoked_original,RIR,suffix,RIR-I2-neutral-R2-P,2,neutral,2,revoked_original,24,module_needed_and_real_prefix_available_and_intervention_applicable,complete,9,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}, ""2"": {""started"": true, ""complete"": true}, ""3"": {""started"": true, ""complete"": true}}}",9,live/units/RIR-I2-neutral-R2-revoked_original
RIR-I2-neutral-R2-revoked_identity,RIR,suffix,RIR-I2-neutral-R2-P,2,neutral,2,revoked_identity,24,module_needed_and_real_prefix_available_and_intervention_applicable,complete,9,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}, ""2"": {""started"": true, ""complete"": true}, ""3"": {""started"": true, ""complete"": true}}}",9,live/units/RIR-I2-neutral-R2-revoked_identity
RIR-I2-neutral-R2-revoked_neutral,RIR,suffix,RIR-I2-neutral-R2-P,2,neutral,2,revoked_neutral,24,module_needed_and_real_prefix_available_and_intervention_applicable,not_applicable,,"{""reason"": ""exact_control_span_not_preserved"", ""source_checkpoint_hash"": ""f9e3eb86a70d11fcd48ff23c32af10dbd38982ed602326641108709f5866e6c9""}",0,
RIR-I2-neutral-R2-not_revoked_control,RIR,suffix,RIR-I2-neutral-R2-P,2,neutral,2,not_revoked_control,24,module_needed_and_real_prefix_available_and_intervention_applicable,complete,9,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}, ""2"": {""started"": true, ""complete"": true}, ""3"": {""started"": true, ""complete"": true}}}",9,live/units/RIR-I2-neutral-R2-not_revoked_control
ALR-I1-R1-P,ALR,prefix,,1,claim,1,setup,8,strict_alr_module_needed,complete,1,"{""formed"": true}",1,live/units/ALR-I1-R1-P
ALR-I1-R1-original,ALR,suffix,ALR-I1-R1-P,1,claim,1,original,12,module_needed_and_real_checkpoint_available,complete,2,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}}}",2,live/units/ALR-I1-R1-original
ALR-I1-R1-identity,ALR,suffix,ALR-I1-R1-P,1,claim,1,identity,12,module_needed_and_real_checkpoint_available,complete,2,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}}}",2,live/units/ALR-I1-R1-identity
ALR-I1-R1-neutral,ALR,suffix,ALR-I1-R1-P,1,claim,1,neutral,12,module_needed_and_real_checkpoint_available,complete,2,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}}}",2,live/units/ALR-I1-R1-neutral
ALR-I1-R2-P,ALR,prefix,,1,claim,2,setup,8,strict_alr_module_needed,complete,1,"{""formed"": true}",1,live/units/ALR-I1-R2-P
ALR-I1-R2-original,ALR,suffix,ALR-I1-R2-P,1,claim,2,original,12,module_needed_and_real_checkpoint_available,complete,2,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}}}",2,live/units/ALR-I1-R2-original
ALR-I1-R2-identity,ALR,suffix,ALR-I1-R2-P,1,claim,2,identity,12,module_needed_and_real_checkpoint_available,complete,2,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}}}",2,live/units/ALR-I1-R2-identity
ALR-I1-R2-neutral,ALR,suffix,ALR-I1-R2-P,1,claim,2,neutral,12,module_needed_and_real_checkpoint_available,complete,2,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}}}",2,live/units/ALR-I1-R2-neutral
ALR-I2-R1-P,ALR,prefix,,2,claim,1,setup,8,strict_alr_module_needed,complete,1,"{""formed"": true}",1,live/units/ALR-I2-R1-P
ALR-I2-R1-original,ALR,suffix,ALR-I2-R1-P,2,claim,1,original,12,module_needed_and_real_checkpoint_available,complete,2,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}}}",2,live/units/ALR-I2-R1-original
ALR-I2-R1-identity,ALR,suffix,ALR-I2-R1-P,2,claim,1,identity,12,module_needed_and_real_checkpoint_available,complete,2,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}}}",2,live/units/ALR-I2-R1-identity
ALR-I2-R1-neutral,ALR,suffix,ALR-I2-R1-P,2,claim,1,neutral,12,module_needed_and_real_checkpoint_available,complete,2,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}}}",2,live/units/ALR-I2-R1-neutral
ALR-I2-R2-P,ALR,prefix,,2,claim,2,setup,8,strict_alr_module_needed,complete,1,"{""formed"": true}",1,live/units/ALR-I2-R2-P
ALR-I2-R2-original,ALR,suffix,ALR-I2-R2-P,2,claim,2,original,12,module_needed_and_real_checkpoint_available,complete,2,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}}}",2,live/units/ALR-I2-R2-original
ALR-I2-R2-identity,ALR,suffix,ALR-I2-R2-P,2,claim,2,identity,12,module_needed_and_real_checkpoint_available,complete,2,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}}}",2,live/units/ALR-I2-R2-identity
ALR-I2-R2-neutral,ALR,suffix,ALR-I2-R2-P,2,claim,2,neutral,12,module_needed_and_real_checkpoint_available,complete,2,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}}}",2,live/units/ALR-I2-R2-neutral
