phase,run_id,artifact_id,depth,expected_depth,match,paths,truncated
f,run-69032697d7ba8330508fdf89,artifact-92f4195ec29ff739,2,2,True,3,False
f,run-88d3bb886a35b56b5e2d2033,artifact-af8cef8f6f9c9f7e,2,2,True,3,False
f,run-88d3bb886a35b56b5e2d2033,artifact-e7c3a9a801b3eac0,0,0,True,1,False
f,run-88d3bb886a35b56b5e2d2033,artifact-d98ba226a10e4d56,4,4,True,11,False
f,run-88d3bb886a35b56b5e2d2033,artifact-5a96271de6f09677,2,2,True,5,False
f,run-88d3bb886a35b56b5e2d2033,artifact-86907a05a333f66c,2,2,True,3,False
f,run-b71a5e378c9aa970d6f0d6cc,artifact-c1ce77ca2af0aa38,2,2,True,3,False
f,run-b71a5e378c9aa970d6f0d6cc,artifact-d30509fbd55502b4,0,0,True,1,False
f,run-b71a5e378c9aa970d6f0d6cc,artifact-3b35e9b0eca82798,4,4,True,11,False
f,run-b71a5e378c9aa970d6f0d6cc,artifact-eba3bccdda84732a,2,2,True,5,False
f,run-b71a5e378c9aa970d6f0d6cc,artifact-b6d7b172be149e18,2,2,True,3,False
f,run-9f0d29efb7ae4a2d5c3c3f02,artifact-7565c0e04afb3f03,2,2,True,3,False
f,run-9f0d29efb7ae4a2d5c3c3f02,artifact-20638aafa0856ee2,0,0,True,1,False
f,run-9f0d29efb7ae4a2d5c3c3f02,artifact-c21b4d5eada102fd,4,4,True,11,False
f,run-9f0d29efb7ae4a2d5c3c3f02,artifact-6555e9a25a1b3ec4,2,2,True,5,False
f,run-9f0d29efb7ae4a2d5c3c3f02,artifact-7d5b18d0ce1e2522,2,2,True,3,False
f,run-bd1c6b04f3621f4d0e527363,artifact-6bce3100617b7274,2,2,True,3,False
f,run-bd1c6b04f3621f4d0e527363,artifact-d77abb1fd18a0f4e,0,0,True,1,False
f,run-bd1c6b04f3621f4d0e527363,artifact-325d7ca92294ae9c,4,4,True,11,False
f,run-bd1c6b04f3621f4d0e527363,artifact-1010b47c2b5661a5,2,2,True,5,False
f,run-bd1c6b04f3621f4d0e527363,artifact-192e6d86b76291e8,2,2,True,3,False
f,run-90486c9c1383be817d3e35b4,artifact-02b8e7e7752e8131,2,2,True,3,False
f,run-90486c9c1383be817d3e35b4,artifact-b9d626e7d7982bc8,0,0,True,1,False
f,run-90486c9c1383be817d3e35b4,artifact-5a92b02e1b49510d,4,4,True,11,False
f,run-90486c9c1383be817d3e35b4,artifact-371edf0f4be45f35,2,2,True,5,False
f,run-90486c9c1383be817d3e35b4,artifact-b5db43ccb049b05a,2,2,True,3,False
f,run-a43c2e180c1a1fd28d814aa0,artifact-3ee37181b2270b6f,2,2,True,3,False
f,run-a43c2e180c1a1fd28d814aa0,artifact-a24775daf59c239f,0,0,True,1,False
f,run-a43c2e180c1a1fd28d814aa0,artifact-ad902293b55e2a03,4,4,True,11,False
f,run-a43c2e180c1a1fd28d814aa0,artifact-ed128ceacd0de103,2,2,True,5,False
f,run-a43c2e180c1a1fd28d814aa0,artifact-2dc611ab56923bec,2,2,True,3,False
f,run-2221bd2db6b8407defba6b43,artifact-173c6edd36e97e4e,2,2,True,3,False
f,run-2221bd2db6b8407defba6b43,artifact-1b019350035a39f8,0,0,True,1,False
f,run-2221bd2db6b8407defba6b43,artifact-0070da81d6f91280,4,4,True,11,False
f,run-2221bd2db6b8407defba6b43,artifact-83b36a7c0677a7f3,2,2,True,5,False
f,run-2221bd2db6b8407defba6b43,artifact-2e9c03d9ad4126f9,2,2,True,3,False
f,run-98e19856d6765f086e4c4384,artifact-2debb41e6217ee4d,2,2,True,3,False
f,run-98e19856d6765f086e4c4384,artifact-e770a853052d9f47,0,0,True,1,False
f,run-98e19856d6765f086e4c4384,artifact-efa883d3e87ee326,4,4,True,11,False
f,run-98e19856d6765f086e4c4384,artifact-4e9b0572cf6bd220,2,2,True,5,False
f,run-98e19856d6765f086e4c4384,artifact-d8e990c9c9665ee1,2,2,True,3,False
f,run-6ef1f6c08af68199754528dd,artifact-509974a4e56ddbc1,2,2,True,3,False
f,run-6ef1f6c08af68199754528dd,artifact-511b1bbf4fbc443e,0,0,True,1,False
f,run-6ef1f6c08af68199754528dd,artifact-66c2107a744dc9ea,4,4,True,11,False
f,run-6ef1f6c08af68199754528dd,artifact-62ec901f72b1ae5e,2,2,True,5,False
f,run-6ef1f6c08af68199754528dd,artifact-e8fd94e9bc2ed8a3,2,2,True,3,False
f,run-cc4e47fff15af3f17ede77f7,artifact-785ff771606d2c4a,2,2,True,3,False
f,run-cc4e47fff15af3f17ede77f7,artifact-a92b380a6d9f0c2b,0,0,True,1,False
f,run-cc4e47fff15af3f17ede77f7,artifact-18c6c5c03ba0fce5,4,4,True,11,False
f,run-cc4e47fff15af3f17ede77f7,artifact-c5b879818511a924,2,2,True,5,False
f,run-cc4e47fff15af3f17ede77f7,artifact-5b0b32563fee96ec,2,2,True,3,False
f,run-bc6b41bc8a3afa4914be4ed2,artifact-c23259185f4d6a1a,2,2,True,3,False
f,run-bc6b41bc8a3afa4914be4ed2,artifact-5ce5da85a17f7448,0,0,True,1,False
f,run-bc6b41bc8a3afa4914be4ed2,artifact-4ab0dac912c66bdf,4,4,True,11,False
f,run-bc6b41bc8a3afa4914be4ed2,artifact-c2907710d3d52431,2,2,True,5,False
f,run-bc6b41bc8a3afa4914be4ed2,artifact-506c8527e5872ce4,2,2,True,7,False
f,run-bc6b41bc8a3afa4914be4ed2,artifact-cbaae0cc8a8bfbe1,2,2,True,7,False
f,run-ad5526f52ba946c9baf6bffd,artifact-2524161043f01bcc,2,2,True,3,False
f,run-ad5526f52ba946c9baf6bffd,artifact-11294dde0463c9b4,0,0,True,1,False
f,run-ad5526f52ba946c9baf6bffd,artifact-a83a65d2c6cf6984,4,4,True,11,False
f,run-ad5526f52ba946c9baf6bffd,artifact-ab962e001d3acb05,2,2,True,5,False
f,run-ad5526f52ba946c9baf6bffd,artifact-3c06231873c4351e,2,2,True,7,False
f,run-ad5526f52ba946c9baf6bffd,artifact-f95513351f5270be,2,2,True,7,False
f,run-d1750331799ccd7131179d70,artifact-b4f86fef6c0761d9,2,2,True,3,False
f,run-d1750331799ccd7131179d70,artifact-9fbac67a5c9b5685,0,0,True,1,False
f,run-d1750331799ccd7131179d70,artifact-54eba2723beabfc3,4,4,True,11,False
f,run-d1750331799ccd7131179d70,artifact-b6e02e8d9cb59ca1,2,2,True,5,False
f,run-d1750331799ccd7131179d70,artifact-74fc0bed3b2e3624,2,2,True,7,False
f,run-d1750331799ccd7131179d70,artifact-16447ed43bb24975,2,2,True,7,False
f,run-03a881bc65c31e01a0ea6896,artifact-52ed38f601f19855,2,2,True,3,False
f,run-03a881bc65c31e01a0ea6896,artifact-2048f0f5e1370623,0,0,True,1,False
f,run-03a881bc65c31e01a0ea6896,artifact-b571fac049be0f5d,4,4,True,11,False
f,run-03a881bc65c31e01a0ea6896,artifact-221e6e32409ce7f6,2,2,True,5,False
f,run-03a881bc65c31e01a0ea6896,artifact-fac0f732469a90d6,2,2,True,7,False
f,run-03a881bc65c31e01a0ea6896,artifact-a50faa2f25b34624,2,2,True,7,False
f,run-16f40dadb856599a39a499d3,artifact-6f96ce0d1f489d51,2,2,True,3,False
f,run-16f40dadb856599a39a499d3,artifact-c51c2991872dafd0,0,0,True,1,False
f,run-16f40dadb856599a39a499d3,artifact-4fd9fef226bf678d,4,4,True,11,False
f,run-16f40dadb856599a39a499d3,artifact-6b2349c2aed4e994,2,2,True,5,False
f,run-16f40dadb856599a39a499d3,artifact-614783c82962496d,2,2,True,7,False
f,run-16f40dadb856599a39a499d3,artifact-2c02aefcc4d3cd1e,2,2,True,7,False
f,run-59768f391763389c8f8f377f,artifact-7584de1154bf87ea,2,2,True,3,False
f,run-59768f391763389c8f8f377f,artifact-fd1d15486fc7f354,0,0,True,1,False
f,run-59768f391763389c8f8f377f,artifact-e9aa8ab8ddec76ae,4,4,True,11,False
f,run-59768f391763389c8f8f377f,artifact-52416111c3e6424b,2,2,True,5,False
f,run-59768f391763389c8f8f377f,artifact-d693679d7945bf7d,2,2,True,7,False
f,run-59768f391763389c8f8f377f,artifact-bc1866fe1aaecbea,2,2,True,7,False
f,run-cc3a55092fd41e4a3f3d9056,artifact-751c04af49c3e7ab,2,2,True,3,False
f,run-cc3a55092fd41e4a3f3d9056,artifact-b44518933fa54a41,0,0,True,1,False
f,run-cc3a55092fd41e4a3f3d9056,artifact-0f34b4d4ef1210fc,4,4,True,11,False
