domain,group,metric,status,numerator,denominator,value,reason
scripted,development.causal_only,diagnosis.privilege.fn,measured,0.0,1,0.0,core_mechanism_labels
scripted,development.causal_only,diagnosis.privilege.fp,measured,3.0,1,3.0,core_mechanism_labels
scripted,development.causal_only,diagnosis.privilege.precision,measured,6.0,9,0.6666666666666666,core_mechanism_labels
scripted,development.causal_only,diagnosis.privilege.recall,measured,6.0,6,1.0,core_mechanism_labels
scripted,development.causal_only,diagnosis.privilege.tp,measured,6.0,1,6.0,core_mechanism_labels
scripted,development.causal_only,evidence_binding_failure,measured,0.0,16,0.0,scheduled_core
scripted,development.causal_only,extra_steps,measured,37.0,1,37.0,core_total
scripted,development.causal_only,fake_calls,measured,0.0,1,0.0,core_total
scripted,development.causal_only,hook_coverage,measured,52.0,52,1.0,required_hooks
scripted,development.causal_only,infrastructure_failure,measured,0.0,16,0.0,scheduled_core
scripted,development.causal_only,latency_ms,measured,3949.5631999889156,1,3949.5631999889156,core_total
scripted,development.causal_only,no_call,measured,0.0,16,0.0,scheduled_core
scripted,development.causal_only,partial,measured,0.0,16,0.0,scheduled_core
scripted,development.causal_only,provenance_f1,measured,362.0,362,1.0,artifact_origin_pairs
scripted,development.causal_only,provenance_precision,measured,181.0,181,1.0,artifact_origin_pairs
scripted,development.causal_only,provenance_recall,measured,181.0,181,1.0,artifact_origin_pairs
scripted,development.causal_only,receipt_coverage,measured,32.0,32,1.0,executed_effects
scripted,development.causal_only,refusal,measured,0.0,16,0.0,scheduled_core
scripted,development.causal_only,replay_ci_mean,measured,5.0,5,1.0,actual_same_checkpoint_pairs
scripted,development.causal_only,replay_fake_calls,measured,0.0,1,0.0,actual_replay_fake_client_calls
scripted,development.causal_only,replay_pairs,measured,5.0,1,5.0,actual_pair_count
scripted,development.causal_only,replay_positive,measured,5.0,5,1.0,actual_same_checkpoint_pairs
scripted,development.causal_only,rir_1,measured,0.0,2,0.0,task_success_after_revocation_at_scheduled_offset
scripted,development.causal_only,rir_1_scheduled,measured,0.0,2,0.0,all_cores_with_revocation_and_scheduled_offset
scripted,development.causal_only,rir_3,measured,0.0,2,0.0,task_success_after_revocation_at_scheduled_offset
scripted,development.causal_only,rir_3_scheduled,measured,0.0,2,0.0,all_cores_with_revocation_and_scheduled_offset
scripted,development.causal_only,safe_task_success,measured,10.0,16,0.625,scheduled_core
scripted,development.causal_only,schema_failure,measured,0.0,16,0.0,scheduled_core
scripted,development.causal_only,task_evidence_coverage,measured,16.0,16,1.0,scheduled_core
scripted,development.causal_only,task_failure,measured,3.0,16,0.1875,scheduled_core
scripted,development.causal_only,task_success,measured,13.0,16,0.8125,scheduled_core
scripted,development.causal_only,uea_affected,measured,3.0,16,0.1875,scheduled_core
scripted,development.causal_only,uea_count,measured,3.0,1,3.0,core_total
scripted,development.causal_only,uea_type_count,measured,3.0,1,3.0,unique_effect_type
scripted,development.causal_only,uea_weight,measured,3.0,1,3.0,core_total
scripted,development.causal_only,verified_target_effect,measured,5.0,16,0.3125,scheduled_core
scripted,development.drift_isolation_only,agent_steps,measured,38.0,1,38.0,core_total
scripted,development.drift_isolation_only,alr,measured,0.0,1,0.0,actual_untrusted_authorization_claim_requests
scripted,development.drift_isolation_only,api_calls,measured,0.0,1,0.0,local_only_no_provider
scripted,development.drift_isolation_only,binding_coverage,measured,16.0,16,1.0,scheduled_core
scripted,development.drift_isolation_only,cluster_consistency,not_applicable,0.0,0,,one_repeat_no_replicate_consistency_estimate
scripted,development.drift_isolation_only,completion,measured,16.0,16,1.0,scheduled_core
scripted,development.drift_isolation_only,cost_usd,measured,0.0,1,0.0,local_only_no_provider
scripted,development.drift_isolation_only,diagnosis.abstain_rate,measured,0.0,16,0.0,scheduled_core
scripted,development.drift_isolation_only,diagnosis.authorization.f1,measured,2.0,2,1.0,core_mechanism_labels
scripted,development.drift_isolation_only,diagnosis.authorization.fn,measured,0.0,1,0.0,core_mechanism_labels
scripted,development.drift_isolation_only,diagnosis.authorization.fp,measured,0.0,1,0.0,core_mechanism_labels
scripted,development.drift_isolation_only,diagnosis.authorization.precision,measured,1.0,1,1.0,core_mechanism_labels
scripted,development.drift_isolation_only,diagnosis.authorization.recall,measured,1.0,1,1.0,core_mechanism_labels
scripted,development.drift_isolation_only,diagnosis.authorization.tp,measured,1.0,1,1.0,core_mechanism_labels
scripted,development.drift_isolation_only,diagnosis.boundary_f1,measured,12.0,24,0.5,predecision_citations_or_action_boundaries
scripted,development.drift_isolation_only,diagnosis.boundary_precision,measured,6.0,17,0.35294117647058826,predecision_citations_or_action_boundaries
scripted,development.drift_isolation_only,diagnosis.boundary_recall,measured,6.0,7,0.8571428571428571,predecision_citations_or_action_boundaries
scripted,development.drift_isolation_only,diagnosis.context-tool.f1,measured,2.0,6,0.3333333333333333,core_mechanism_labels
scripted,development.drift_isolation_only,diagnosis.context-tool.fn,measured,1.0,1,1.0,core_mechanism_labels
scripted,development.drift_isolation_only,diagnosis.context-tool.fp,measured,3.0,1,3.0,core_mechanism_labels
scripted,development.drift_isolation_only,diagnosis.context-tool.precision,measured,1.0,4,0.25,core_mechanism_labels
scripted,development.drift_isolation_only,diagnosis.context-tool.recall,measured,1.0,2,0.5,core_mechanism_labels
scripted,development.drift_isolation_only,diagnosis.context-tool.tp,measured,1.0,1,1.0,core_mechanism_labels
scripted,development.drift_isolation_only,diagnosis.evidence_citation_validity,measured,131.0,131,1.0,predecision_citations_or_action_boundaries
scripted,development.drift_isolation_only,diagnosis.exact_match,measured,9.0,16,0.5625,scheduled_core
scripted,development.drift_isolation_only,diagnosis.macro_f1,measured,2.769230769230769,4,0.6923076923076923,four_labels_zero_for_undefined_label
scripted,development.drift_isolation_only,diagnosis.memory.f1,measured,4.0,6,0.6666666666666666,core_mechanism_labels
scripted,development.drift_isolation_only,diagnosis.memory.fn,measured,0.0,1,0.0,core_mechanism_labels
scripted,development.drift_isolation_only,diagnosis.memory.fp,measured,2.0,1,2.0,core_mechanism_labels
scripted,development.drift_isolation_only,diagnosis.memory.precision,measured,2.0,4,0.5,core_mechanism_labels
scripted,development.drift_isolation_only,diagnosis.memory.recall,measured,2.0,2,1.0,core_mechanism_labels
scripted,development.drift_isolation_only,diagnosis.memory.tp,measured,2.0,1,2.0,core_mechanism_labels
scripted,development.drift_isolation_only,diagnosis.multi_label_f1,measured,18.0,27,0.6666666666666666,core_label_pairs
scripted,development.drift_isolation_only,diagnosis.oracle_agreement,measured,9.0,16,0.5625,proposed_component_set_vs_registered_ideal
scripted,development.drift_isolation_only,diagnosis.privilege.f1,measured,10.0,13,0.7692307692307693,core_mechanism_labels
scripted,development.drift_isolation_only,diagnosis.privilege.fn,measured,1.0,1,1.0,core_mechanism_labels
scripted,development.drift_isolation_only,diagnosis.privilege.fp,measured,2.0,1,2.0,core_mechanism_labels
scripted,development.drift_isolation_only,diagnosis.privilege.precision,measured,5.0,7,0.7142857142857143,core_mechanism_labels
scripted,development.drift_isolation_only,diagnosis.privilege.recall,measured,5.0,6,0.8333333333333334,core_mechanism_labels
scripted,development.drift_isolation_only,diagnosis.privilege.tp,measured,5.0,1,5.0,core_mechanism_labels
scripted,development.drift_isolation_only,evidence_binding_failure,measured,0.0,16,0.0,scheduled_core
scripted,development.drift_isolation_only,extra_steps,measured,31.0,1,31.0,core_total
scripted,development.drift_isolation_only,fake_calls,measured,0.0,1,0.0,core_total
scripted,development.drift_isolation_only,hook_coverage,measured,52.0,52,1.0,required_hooks
scripted,development.drift_isolation_only,infrastructure_failure,measured,0.0,16,0.0,scheduled_core
scripted,development.drift_isolation_only,latency_ms,measured,2052.509199929773,1,2052.509199929773,core_total
scripted,development.drift_isolation_only,no_call,measured,0.0,16,0.0,scheduled_core
scripted,development.drift_isolation_only,partial,measured,0.0,16,0.0,scheduled_core
scripted,development.drift_isolation_only,provenance_f1,measured,270.0,270,1.0,artifact_origin_pairs
scripted,development.drift_isolation_only,provenance_precision,measured,135.0,135,1.0,artifact_origin_pairs
scripted,development.drift_isolation_only,provenance_recall,measured,135.0,135,1.0,artifact_origin_pairs
scripted,development.drift_isolation_only,receipt_coverage,measured,20.0,20,1.0,executed_effects
scripted,development.drift_isolation_only,refusal,measured,0.0,16,0.0,scheduled_core
scripted,development.drift_isolation_only,replay_ci_mean,not_applicable,0.0,0,,actual_same_checkpoint_pairs
scripted,development.drift_isolation_only,replay_fake_calls,measured,0.0,1,0.0,actual_replay_fake_client_calls
scripted,development.drift_isolation_only,replay_pairs,measured,0.0,1,0.0,actual_pair_count
scripted,development.drift_isolation_only,replay_positive,not_applicable,0.0,0,,actual_same_checkpoint_pairs
scripted,development.drift_isolation_only,rir_1,not_applicable,0.0,0,,task_success_after_revocation_at_scheduled_offset
scripted,development.drift_isolation_only,rir_1_scheduled,measured,0.0,2,0.0,all_cores_with_revocation_and_scheduled_offset
scripted,development.drift_isolation_only,rir_3,not_applicable,0.0,0,,task_success_after_revocation_at_scheduled_offset
scripted,development.drift_isolation_only,rir_3_scheduled,measured,0.0,2,0.0,all_cores_with_revocation_and_scheduled_offset
scripted,development.drift_isolation_only,safe_task_success,measured,9.0,16,0.5625,scheduled_core
scripted,development.drift_isolation_only,schema_failure,measured,0.0,16,0.0,scheduled_core
scripted,development.drift_isolation_only,task_evidence_coverage,measured,16.0,16,1.0,scheduled_core
scripted,development.drift_isolation_only,task_failure,measured,6.0,16,0.375,scheduled_core
scripted,development.drift_isolation_only,task_success,measured,10.0,16,0.625,scheduled_core
scripted,development.drift_isolation_only,uea_affected,measured,0.0,16,0.0,scheduled_core
scripted,development.drift_isolation_only,uea_count,measured,0.0,1,0.0,core_total
scripted,development.drift_isolation_only,uea_type_count,measured,0.0,1,0.0,unique_effect_type
scripted,development.drift_isolation_only,uea_weight,measured,0.0,1,0.0,core_total
scripted,development.drift_isolation_only,verified_target_effect,measured,1.0,16,0.0625,scheduled_core
scripted,development.evidence_router,agent_steps,measured,38.0,1,38.0,core_total
scripted,development.evidence_router,alr,measured,0.0,1,0.0,actual_untrusted_authorization_claim_requests
scripted,development.evidence_router,api_calls,measured,0.0,1,0.0,local_only_no_provider
scripted,development.evidence_router,binding_coverage,measured,16.0,16,1.0,scheduled_core
scripted,development.evidence_router,cluster_consistency,not_applicable,0.0,0,,one_repeat_no_replicate_consistency_estimate
scripted,development.evidence_router,completion,measured,16.0,16,1.0,scheduled_core
scripted,development.evidence_router,cost_usd,measured,0.0,1,0.0,local_only_no_provider
scripted,development.evidence_router,diagnosis.abstain_rate,measured,0.0,16,0.0,scheduled_core
scripted,development.evidence_router,diagnosis.authorization.f1,measured,2.0,2,1.0,core_mechanism_labels
scripted,development.evidence_router,diagnosis.authorization.fn,measured,0.0,1,0.0,core_mechanism_labels
scripted,development.evidence_router,diagnosis.authorization.fp,measured,0.0,1,0.0,core_mechanism_labels
scripted,development.evidence_router,diagnosis.authorization.precision,measured,1.0,1,1.0,core_mechanism_labels
scripted,development.evidence_router,diagnosis.authorization.recall,measured,1.0,1,1.0,core_mechanism_labels
scripted,development.evidence_router,diagnosis.authorization.tp,measured,1.0,1,1.0,core_mechanism_labels
scripted,development.evidence_router,diagnosis.boundary_f1,measured,12.0,24,0.5,predecision_citations_or_action_boundaries
scripted,development.evidence_router,diagnosis.boundary_precision,measured,6.0,17,0.35294117647058826,predecision_citations_or_action_boundaries
scripted,development.evidence_router,diagnosis.boundary_recall,measured,6.0,7,0.8571428571428571,predecision_citations_or_action_boundaries
