view_id,query_id,domain,phase,native_unit_ref,protocol,horizon,source_variant,source_ref,result_ref,eligibility,status,value,lower,upper,cell,denominator,planned,true,unknown
V01,i_0e989e548b2c68a47360abd8,HISTORICAL_LIVE,h,c2-tool-return-grid,valid_only,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V01.jsonl#L16571,True,bounded,,0.0,0.0,p00,15,15,0,0
V01,i_0e989e548b2c68a47360abd8,HISTORICAL_LIVE,h,c2-tool-return-grid,valid_only,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V01.jsonl#L16571,True,bounded,,0.0,1.0,p01,15,15,0,15
V01,i_0e989e548b2c68a47360abd8,HISTORICAL_LIVE,h,c2-tool-return-grid,valid_only,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V01.jsonl#L16571,True,bounded,,0.0,0.0,p10,15,15,0,0
V01,i_0e989e548b2c68a47360abd8,HISTORICAL_LIVE,h,c2-tool-return-grid,valid_only,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V01.jsonl#L16571,True,bounded,,0.0,1.0,p11,15,15,0,15
V02,i_3d031958544a8c5247ac8905,HISTORICAL_LIVE,f,c1-context-grid,scheduled,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V02.jsonl#L16555,True,point,1.0,0.0,0.0,p00,15,15,0,0
V02,i_3d031958544a8c5247ac8905,HISTORICAL_LIVE,f,c1-context-grid,scheduled,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V02.jsonl#L16555,True,point,1.0,0.0,0.0,p01,15,15,0,0
V02,i_3d031958544a8c5247ac8905,HISTORICAL_LIVE,f,c1-context-grid,scheduled,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V02.jsonl#L16555,True,point,1.0,0.0,0.0,p10,15,15,0,0
V02,i_3d031958544a8c5247ac8905,HISTORICAL_LIVE,f,c1-context-grid,scheduled,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V02.jsonl#L16555,True,point,1.0,1.0,1.0,p11,15,15,15,0
V02,i_d9f7f47a56f73e0b00390941,HISTORICAL_LIVE,f,c1-context-grid,valid_only,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V02.jsonl#L16556,True,point,1.0,0.0,0.0,p00,15,15,0,0
V02,i_d9f7f47a56f73e0b00390941,HISTORICAL_LIVE,f,c1-context-grid,valid_only,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V02.jsonl#L16556,True,point,1.0,0.0,0.0,p01,15,15,0,0
V02,i_d9f7f47a56f73e0b00390941,HISTORICAL_LIVE,f,c1-context-grid,valid_only,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V02.jsonl#L16556,True,point,1.0,0.0,0.0,p10,15,15,0,0
V02,i_d9f7f47a56f73e0b00390941,HISTORICAL_LIVE,f,c1-context-grid,valid_only,,,datasets/t17-v2/stages/f/matrix.jsonl,results/V02.jsonl#L16556,True,point,1.0,1.0,1.0,p11,15,15,15,0
